epoch,loss,val_loss
0,0.6369728446006775,0.6543545126914978
1,0.6243634819984436,0.6501400470733643
2,0.6228347420692444,0.6498961448669434
3,0.6221699714660645,0.6487111449241638
4,0.6217632293701172,0.6487483382225037
5,0.6214633584022522,0.6496325731277466
6,0.6212047338485718,0.6508921980857849
7,0.6210202574729919,0.6513804793357849
8,0.6208353638648987,0.6525121331214905
9,0.6206810474395752,0.6525769233703613
10,0.6205540299415588,0.6468528509140015
11,0.6205422282218933,0.6496026515960693
12,0.6204114556312561,0.6526240110397339
13,0.6203216910362244,0.6488584876060486
14,0.620201051235199,0.6524228453636169
15,0.620250940322876,0.6485083103179932
16,0.6201469898223877,0.6466686129570007
17,0.6200830340385437,0.6476600170135498
18,0.6199814677238464,0.6533843874931335
19,0.6198837161064148,0.6496360301971436
20,0.6199546456336975,0.6493500471115112
21,0.619866132736206,0.6528348326683044
22,0.6198264956474304,0.64810711145401
23,0.6196486949920654,0.6480835676193237
24,0.6197381615638733,0.6518269181251526
