epoch,loss,val_loss
0,0.6617903709411621,0.6887295246124268
1,0.6611751914024353,0.6918146014213562
2,0.6611278653144836,0.6901766657829285
3,0.6610990762710571,0.6902677416801453
4,0.6610816121101379,0.6894396543502808
5,0.6610761880874634,0.6895735263824463
6,0.6610571146011353,0.6913401484489441
7,0.6610274910926819,0.6885094046592712
8,0.6610301733016968,0.6890102028846741
9,0.6610182523727417,0.6899390816688538
10,0.6610084772109985,0.6891044974327087
11,0.6609936952590942,0.6884349584579468
12,0.6609860062599182,0.6894991993904114
13,0.6609939336776733,0.6891639232635498
14,0.6609742045402527,0.6900835633277893
15,0.6609796285629272,0.6896830201148987
16,0.6609638929367065,0.6899150609970093
17,0.66096031665802,0.6885259747505188
18,0.6609548330307007,0.6923381090164185
19,0.6609485745429993,0.6888315081596375
20,0.6609405279159546,0.6883446574211121
21,0.6609452366828918,0.6895638704299927
22,0.6609441637992859,0.6900691986083984
23,0.6609368920326233,0.6891858577728271
24,0.6609386801719666,0.6882137656211853
