epoch,loss,val_loss
0,0.27926865220069885,0.19223538041114807
1,0.18603932857513428,0.16013701260089874
2,0.17142413556575775,0.13940805196762085
3,0.1643150895833969,0.13638894259929657
4,0.16023162007331848,0.12936580181121826
5,0.15779027342796326,0.13638286292552948
6,0.15587905049324036,0.13987791538238525
7,0.15448056161403656,0.1300535649061203
8,0.15316741168498993,0.12741614878177643
9,0.1522407978773117,0.12387789785861969
10,0.1516355723142624,0.12242314964532852
11,0.15074551105499268,0.12265022099018097
12,0.1501934826374054,0.12289807200431824
13,0.1500113606452942,0.12467480450868607
14,0.14911597967147827,0.12036262452602386
15,0.1489027738571167,0.12314584851264954
16,0.14829765260219574,0.12341255694627762
17,0.14821544289588928,0.1200428456068039
18,0.14793309569358826,0.11853589117527008
19,0.14761337637901306,0.11859233677387238
20,0.1474439948797226,0.1191004142165184
21,0.14710119366645813,0.11825761198997498
22,0.14697857201099396,0.11660876870155334
23,0.146690234541893,0.14381390810012817
24,0.146682471036911,0.1189807653427124
